"All Cancer Sites Combined"
"Long-Term Trends in SEER Age-Adjusted Incidence Rates, 1975-2022"
"By Age, Delay-adjusted SEER Incidence Rate, Both Sexes, All Races / Ethnicities"

"","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages 15-39","Ages 15-39","Ages 15-39","Ages 15-39","Ages 40-64","Ages 40-64","Ages 40-64","Ages 40-64","Ages 65-74","Ages 65-74","Ages 65-74","Ages 65-74","Ages 75+","Ages 75+","Ages 75+","Ages 75+"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"1975","12.1","11.0","13.2","12.8","58.2","56.1","60.3","58.4","497.0","490.5","503.6","498.4","1,504.1","1,479.5","1,529.0","1,485.3","2,094.2","2,058.8","2,130.1","2,074.4"
"1976","13.4","12.3","14.6","12.9","57.8","55.8","59.9","58.5","497.1","490.6","503.7","494.7","1,528.7","1,504.3","1,553.5","1,510.3","2,149.1","2,113.5","2,185.1","2,103.4"
"1977","12.8","11.7","13.9","13.0","59.7","57.7","61.8","58.6","488.8","482.3","495.3","491.0","1,547.3","1,523.0","1,571.9","1,535.6","2,154.5","2,119.4","2,190.0","2,132.7"
"1978","13.1","12.0","14.3","13.1","58.9","56.9","60.9","58.8","488.4","482.0","494.9","487.3","1,527.5","1,503.7","1,551.6","1,561.4","2,167.4","2,132.7","2,202.5","2,162.4"
"1979","13.5","12.3","14.7","13.2","59.0","57.0","60.9","58.9","485.3","478.9","491.7","483.7","1,603.6","1,579.5","1,628.0","1,587.7","2,192.7","2,158.3","2,227.4","2,192.6"
"1980","13.4","12.3","14.6","13.3","58.8","56.9","60.7","59.0","482.8","476.4","489.2","480.1","1,620.4","1,596.5","1,644.6","1,614.3","2,230.2","2,196.1","2,264.7","2,223.2"
"1981","12.2","11.1","13.3","13.4","59.5","57.6","61.4","60.4","487.9","481.6","494.3","485.5","1,633.8","1,610.1","1,657.8","1,641.4","2,270.4","2,236.5","2,304.8","2,254.2"
"1982","12.8","11.7","14.0","13.4","61.5","59.6","63.4","61.8","482.0","475.7","488.3","491.0","1,640.1","1,616.6","1,663.9","1,669.0","2,241.3","2,208.0","2,274.9","2,285.6"
"1983","13.0","11.9","14.1","13.5","62.6","60.8","64.5","63.3","490.4","484.1","496.8","496.6","1,665.5","1,642.1","1,689.2","1,697.1","2,285.7","2,252.6","2,319.1","2,317.5"
