"All Cancer Sites Combined"
"Long-Term Trends in SEER Age-Adjusted Incidence Rates, 1975-2022"
"By Sex, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages"

"","Female","Female","Female","Female","Male","Male","Male","Male"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"1975","366.7","362.3","371.1","364.6","465.9","460.0","471.9","463.5"
"1976","368.3","363.9","372.7","365.1","475.2","469.3","481.2","469.4"
"1977","363.6","359.3","367.9","365.6","479.8","473.9","485.7","475.3"
"1978","361.1","356.9","365.3","366.1","482.0","476.2","487.9","481.4"
"1979","365.0","360.8","369.2","366.6","489.8","484.0","495.7","487.5"
"1980","365.7","361.5","369.9","367.1","495.2","489.4","501.1","493.7"
"1981","372.7","368.6","376.9","367.7","496.8","491.1","502.6","499.9"
"1982","370.0","365.9","374.2","368.2","495.5","489.9","501.3","506.3"
"1983","375.0","370.9","379.1","378.0","505.4","499.7","511.1","512.7"
"1984","387.8","383.7","392.0","388.1","512.2","506.5","517.8","519.2"
"1985","399.1","394.9","403.3","398.5","520.1","514.4","525.7","525.8"
"1986","397.4","393.3","401.5","400.2","528.3","522.7","533.9","532.5"
"1987","408.4","404.3","412.6","401.8","552.0","546.3","557.7","539.2"
"1988","406.4","402.3","410.5","403.5","547.3","541.7","552.9","546.1"
"1989","403.0","398.9","407.0","405.2","554.7","549.1","560.3","553.0"
"1990","409.6","405.6","413.6","406.9","580.1","574.5","585.7","579.3"
"1991","412.5","408.5","416.5","408.6","618.4","612.7","624.1","606.8"
"1992","410.5","406.5","414.4","410.3","636.9","631.2","642.6","635.7"
"1993","403.0","399.2","406.9","412.0","599.8","594.4","605.3","607.7"
"1994","409.0","405.2","412.9","413.8","570.5","565.3","575.8","580.9"
"1995","409.1","405.3","413.0","415.5","556.5","551.4","561.6","555.3"
"1996","414.4","410.6","418.2","417.2","557.4","552.4","562.5","556.1"
"1997","423.5","419.7","427.3","419.0","558.5","553.5","563.6","556.8"
"1998","428.1","424.3","431.9","420.7","553.2","548.2","558.1","557.6"
"1999","425.7","421.9","429.4","422.5","563.7","558.8","568.6","558.4"
"2000","417.1","413.4","420.8","422.8","562.3","557.5","567.2","559.2"
"2001","427.9","424.2","431.7","423.2","572.3","567.4","577.1","560.0"
"2002","428.9","425.3","432.7","423.5","566.2","561.5","571.1","560.8"
"2003","418.4","414.8","422.1","423.8","555.8","551.1","560.5","561.6"
"2004","423.1","419.5","426.8","424.2","557.0","552.3","561.7","562.4"
"2005","421.8","418.2","425.4","424.5","551.6","547.0","556.2","563.2"
"2006","422.9","419.3","426.4","424.8","559.2","554.7","563.8","564.0"
"2007","423.5","420.0","427.1","425.2","568.0","563.4","572.6","564.8"
"2008","428.2","424.6","431.7","425.5","550.0","545.6","554.5","551.1"
"2009","432.5","429.0","436.0","425.8","542.9","538.6","547.3","537.7"
"2010","425.2","421.8","428.7","426.1","530.1","525.8","534.3","524.7"
"2011","424.5","421.1","428.0","426.5","518.9","514.7","523.1","511.9"
"2012","426.1","422.7","429.5","426.8","495.2","491.2","499.2","499.5"
"2013","423.0","419.6","426.4","427.1","488.1","484.2","492.0","487.4"
"2014","427.6","424.3","431.0","427.5","483.8","479.9","487.7","488.6"
"2015","429.7","426.4","433.1","427.8","488.1","484.2","491.9","489.8"
"2016","430.2","426.9","433.6","428.1","490.7","486.9","494.6","491.0"
"2017","428.7","425.3","432.0","428.5","494.2","490.4","498.0","492.2"
"2018","427.7","424.4","431.0","432.2","488.7","485.0","492.4","493.4"
"2019","438.4","435.1","441.7","435.9","496.9","493.2","500.6","494.6"
"2020","398.3","395.2","401.4","439.6","448.5","445.0","452.0","495.8"
"2021","449.2","445.9","452.5","443.4","501.3","497.7","505.0","497.0"
"2022","442.4","439.1","445.7","447.2","495.5","491.8","499.1","498.3"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 8 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For years prior to 1990, the Census Bureau has only provided county-level population estimates for White, Black, and Other races."
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Thu Feb 12 2026.
