"All Cancer Sites Combined"
"Long-Term Trends in SEER Age-Adjusted Incidence Rates, 1975-2022"
"By Sex, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages"

"","Both Sexes","Both Sexes","Both Sexes","Both Sexes"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"1975","400.0","396.6","403.5","400.5"
"1976","405.1","401.7","408.6","402.7"
"1977","404.7","401.3","408.1","405.0"
"1978","403.8","400.5","407.2","407.2"
"1979","409.5","406.2","412.9","409.5"
"1980","412.1","408.8","415.4","411.7"
"1981","416.9","413.6","420.3","414.0"
"1982","414.6","411.4","417.9","416.3"
"1983","422.0","418.7","425.2","423.6"
"1984","432.0","428.7","435.3","430.9"
"1985","441.9","438.6","445.2","438.4"
"1986","444.6","441.4","447.9","446.0"
"1987","461.1","457.8","464.4","453.8"
"1988","457.8","454.5","461.0","461.7"
"1989","460.2","457.0","463.4","469.7"
"1990","473.9","470.7","477.2","477.8"
"1991","492.4","489.2","495.7","486.1"
"1992","499.9","496.7","503.2","494.6"
"1993","481.4","478.3","484.6","485.1"
"1994","473.1","470.0","476.2","475.8"
"1995","467.6","464.5","470.6","466.6"
"1996","471.1","468.0","474.1","470.2"
"1997","476.8","473.8","479.8","473.9"
"1998","477.0","474.0","480.0","477.5"
"1999","480.9","477.9","483.9","481.2"
"2000","476.3","473.4","479.2","481.0"
"2001","486.9","483.9","489.8","480.7"
"2002","484.8","481.9","487.7","480.4"
"2003","474.8","471.9","477.6","480.2"
"2004","477.9","475.1","480.7","479.9"
"2005","475.4","472.6","478.2","479.6"
"2006","480.0","477.2","482.8","479.4"
"2007","484.4","481.6","487.2","479.1"
"2008","479.0","476.2","481.7","478.8"
"2009","478.4","475.7","481.1","478.6"
"2010","468.9","466.3","471.6","470.5"
"2011","463.4","460.8","466.0","462.6"
"2012","453.6","451.0","456.1","454.8"
"2013","448.5","446.0","451.0","447.2"
"2014","449.1","446.6","451.6","449.2"
"2015","452.3","449.8","454.8","451.2"
"2016","454.0","451.6","456.5","453.3"
"2017","454.9","452.4","457.3","455.4"
"2018","451.9","449.5","454.3","457.5"
"2019","461.1","458.7","463.5","459.5"
"2020","417.6","415.3","419.9","461.6"
"2021","469.1","466.7","471.5","463.7"
"2022","462.8","460.4","465.2","465.9"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 8 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For years prior to 1990, the Census Bureau has only provided county-level population estimates for White, Black, and Other races."
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Thu Feb 12 2026.
